SequenceName	ClusterNumber
HG03135	22
HG03199	22
NA19395	22
HG02885	22
NA19023	22
NA18511	22
HG03514	22
HG02051	22
HG01883	22
NA19443	23
NA19393	23
NA19376	23
HG02010	24
NA20281	24
NA19385	24
HG03397	24
HG03077	24
HG01885	24
HG01985	25
HG03196	25
NA19399	25
NA19391	25
HG02323	25
NA19818	25
NA19035	25
HG02947	25
HG03126	25
NA19114	25
HG02013	25
HG03520	25
NA19184	25
NA19141	25
HG03118	25
HG03190	25
HG02976	25
NA19446	26
NA19401	26
HG02427	-1
HG02322	27
HG02053	27
HG02052	27
HG02511	28
NA20314	28
NA19020	29
HG02839	29
HG03027	29
HG02890	29
HG02573	29
NA19707	29
NA19204	29
HG03577	29
HG03478	29
NA19921	29
HG02938	29
NA19704	29
HG02012	29
NA19092	29
NA19118	29
HG03175	29
NA18934	29
HG02944	29
HG02450	29
HG03301	29
NA18499	29
HG02537	29
NA20278	29
NA19214	29
HG01912	29
NA19819	29
HG02807	29
NA18502	29
HG03115	29
HG02973	29
NA20348	29
NA20346	29
HG03352	29
HG03061	29
HG03195	29
HG03572	29
NA18853	29
NA19309	29
NA18504	29
HG03280	29
HG03304	29
HG03160	29
NA18488	29
HG03511	29
HG02308	29
NA19160	29
NA19147	29
NA19236	29
NA20342	29
NA19700	29
HG02968	29
NA19113	29
NA19238	29
NA19138	29
HG02315	29
NA19235	29
HG03419	29
HG02943	30
NA19319	30
NA19200	30
NA19711	30
HG02817	30
NA19171	30
HG03105	30
NA19900	30
HG03378	30
HG03082	30
HG03372	30
HG03369	30
NA18873	30
NA19315	30
HG02666	30
HG02449	30
NA18909	30
HG03081	30
NA20291	30
HG02464	30
HG03556	30
HG03212	30
HG03025	30
HG02769	30
NA19437	-1
NA20298	31
HG02582	31
HG02143	31
HG02445	32
HG02485	32
NA19025	-1
HG03258	33
HG03538	33
NA20356	33
HG02884	33
HG02763	33
HG03479	33
HG03060	33
HG02054	33
HG02816	33
HG02621	33
HG02334	-1
NA19982	-1
NA18858	34
HG03086	34
NA19107	34
HG02813	34
HG02722	34
HG02465	34
HG02470	34
NA18916	34
HG02634	34
HG01879	34
HG03054	34
HG02613	34
HG03294	34
HG03055	34
HG02854	34
HG02623	34
HG03394	34
HG02330	34
HG02810	34
NA18865	34
NA18907	34
HG03565	34
HG03095	34
NA19257	34
HG03521	34
HG03446	34
HG03124	34
HG02594	34
HG02461	34
HG03108	34
NA19098	34
NA19913	34
HG03370	34
HG02309	34
HG01914	34
HG03039	34
HG02721	34
NA19143	34
NA18508	34
NA19119	34
HG02471	34
HG02107	34
HG03246	34
NA19175	34
NA19222	34
NA18871	34
NA19372	34
NA19380	34
NA19429	34
NA19307	34
NA19324	34
NA19320	34
NA19355	34
NA19473	34
NA19338	34
NA19428	34
NA19375	34
NA19472	34
NA19439	34
NA19346	34
NA19397	34
NA19451	34
NA19347	34
NA19026	34
NA19360	34
NA19334	34
NA19331	34
NA19468	34
NA19475	34
NA19436	34
NA19310	34
NA19321	34
NA19456	34
NA19017	34
NA19036	34
NA19701	-1
HG02256	35
NA20299	35
NA20318	36
NA20317	36
NA20296	36
HG02255	36
HG03024	37
NA19920	37
HG03045	37
HG02805	37
HG02614	37
NA19384	38
HG03583	38
HG03558	38
NA19457	39
NA19037	39
NA19377	40
NA19038	40
NA19922	41
HG02675	41
HG01894	41
HG03100	42
HG02610	42
HG03518	42
NA20339	42
HG02339	42
HG02798	42
NA18867	42
HG03241	42
HG02583	42
NA19030	42
NA19316	42
NA20294	42
HG03567	42
HG02095	42
HG03040	42
HG02586	42
HG03559	42
HG02768	42
HG02702	42
HG02628	42
HG03366	42
HG02484	42
HG02318	42
NA18864	43
HG03445	43
HG02771	43
HG02558	43
NA19121	43
NA19144	43
HG03265	43
HG03198	43
HG03224	43
NA19153	43
HG02953	43
HG02585	43
HG03129	43
HG03247	43
HG02574	43
