SequenceName	ClusterNumber
HG02923	2
NA19213	2
HG03111	2
HG02946	2
HG03162	2
NA19172	2
HG02541	2
NA18520	2
HG03303	2
NA20298	2
HG02582	2
HG02143	2
NA19437	2
NA19446	2
NA19401	2
HG01985	2
HG03196	2
NA19399	2
NA19391	2
HG02323	2
NA19818	2
NA19035	2
HG02947	2
HG03126	2
NA19114	2
HG02013	2
HG03520	2
NA19184	2
NA19141	2
HG03118	2
HG03190	2
HG02976	2
HG02943	2
NA19319	2
NA19200	2
NA19711	2
HG02817	2
NA19171	2
HG03105	2
NA19900	2
HG03378	2
HG03082	2
HG03372	2
HG03369	2
NA18873	2
NA19315	2
HG02666	2
HG02449	2
NA18909	2
HG03081	2
NA20291	2
HG02464	2
HG03556	2
HG03212	2
HG03025	2
HG02769	2
NA19020	2
HG02839	2
HG03027	2
HG02890	2
HG02573	2
NA19707	2
NA19204	2
HG03577	2
HG03478	2
NA19921	2
HG02938	2
NA19704	2
HG02012	2
NA19092	2
NA19118	2
HG03175	2
NA18934	2
HG02944	2
HG02450	2
HG03301	2
NA18499	2
HG02537	2
NA20278	2
NA19214	2
HG01912	2
NA19819	2
HG02807	2
NA18502	2
HG03115	2
HG02973	2
NA20348	2
NA20346	2
HG03352	2
HG03061	2
HG03195	2
HG03572	2
NA18853	2
NA19309	2
NA18504	2
HG03280	2
HG03304	2
HG03160	2
NA18488	2
HG03511	2
HG02308	2
NA19160	2
NA19147	2
NA19236	2
NA20342	2
NA19700	2
HG02968	2
NA19113	2
NA19238	2
NA19138	2
HG02315	2
NA19235	2
HG03419	2
NA19438	2
NA19377	2
NA19038	2
NA19457	2
NA19037	2
NA19384	2
HG03583	2
HG03558	2
HG03024	2
NA19920	2
HG03045	2
HG02805	2
HG02614	2
NA18858	2
HG03086	2
NA19107	2
HG02813	2
HG02722	2
HG02465	2
HG02470	2
NA18916	2
HG02634	2
HG01879	2
HG03054	2
HG02613	2
HG03294	2
HG03055	2
HG02854	2
HG02623	2
HG03394	2
HG02330	2
HG02810	2
NA18865	2
NA18907	2
HG03565	2
HG03095	2
NA19257	2
HG03521	2
HG03446	2
HG03124	2
HG02594	2
HG02461	2
HG03108	2
NA19098	2
NA19913	2
HG03370	2
HG02309	2
HG01914	2
HG03039	2
HG02721	2
NA19143	2
NA18508	2
NA19119	2
HG02471	2
HG02107	2
HG03246	2
NA19175	2
NA19222	2
NA18871	2
NA19372	2
NA19380	2
NA19429	2
NA19307	2
NA19324	2
NA19320	2
NA19355	2
NA19473	2
NA19338	2
NA19428	2
NA19375	2
NA19472	2
NA19439	2
NA19346	2
NA19397	2
NA19451	2
NA19347	2
NA19026	2
NA19360	2
NA19334	2
NA19331	2
NA19468	2
NA19475	2
NA19436	2
NA19310	2
NA19321	2
NA19456	2
NA19017	2
NA19036	2
NA20318	2
NA20317	2
NA20296	2
HG02255	2
NA19922	2
HG02675	2
HG01894	2
NA18864	2
HG03445	2
HG02771	2
HG02558	2
NA19121	2
NA19144	2
HG03265	2
HG03198	2
HG03224	2
NA19153	2
HG02953	2
HG02585	2
HG03129	2
HG03247	2
HG02574	2
HG03100	2
HG02610	2
HG03518	2
NA20339	2
HG02339	2
HG02798	2
NA18867	2
HG03241	2
HG02583	2
NA19030	2
NA19316	2
NA20294	2
HG03567	2
HG02095	2
HG03040	2
HG02586	2
HG03559	2
HG02768	2
HG02702	2
HG02628	2
HG03366	2
HG02484	2
HG02318	2
NA19025	2
NA19982	2
HG02256	2
NA20299	2
NA19701	2
HG02511	2
NA20314	2
HG02334	2
HG03258	2
HG03538	2
NA20356	2
HG02884	2
HG02763	2
HG03479	2
HG03060	2
HG02054	2
HG02816	2
HG02621	2
HG02445	2
HG02485	2
NA19712	3
HG03133	3
HG02332	3
NA19378	3
HG03363	3
HG03271	3
HG03300	3
HG02442	3
HG03499	3
HG03313	3
HG02283	3
HG03168	3
NA19323	3
HG02282	3
HG03464	3
HG03096	3
HG02611	3
HG03385	3
HG03391	3
HG03380	3
HG02014	3
NA19917	3
HG02322	3
HG02053	3
HG02052	3
HG02427	3
HG02010	3
NA20281	3
NA19385	3
HG03397	3
HG03077	3
HG01885	3
HG03343	3
HG01986	3
NA20362	3
NA20359	3
HG02983	3
HG01990	3
NA19914	3
NA19256	3
NA18915	3
NA19390	3
HG02561	3
HG02678	3
NA19909	3
HG01956	3
HG01886	3
HG03066	3
HG02820	3
HG02635	3
HG03470	3
HG03436	3
HG03469	3
HG03058	3
HG02571	3
HG02646	3
NA20412	3
HG02589	3
NA20289	3
HG03057	3
NA20282	3
HG03052	3
HG02855	3
HG02840	3
NA20321	3
NA20320	3
HG02891	3
HG02811	3
HG03295	3
NA19834	3
NA19041	3
HG03442	3
NA19431	3
NA18486	3
NA19131	3
HG03311	3
HG03351	3
HG01988	3
HG02772	3
HG02562	3
NA18501	3
HG03270	3
HG03079	3
NA18917	3
NA19916	3
HG03073	3
HG02477	3
HG03099	3
HG03103	3
NA19198	3
NA19462	3
NA19190	3
NA18933	3
HG02580	3
NA19210	3
HG02343	3
HG03120	3
HG03166	3
HG02108	3
NA18498	3
NA19206	3
HG03112	3
HG03136	3
NA19471	3
NA18923	3
NA18507	3
NA18924	3
HG02307	3
NA19207	3
NA19223	3
HG03109	3
HG02974	3
