SequenceName	ClusterNumber
NA19707	16
NA19204	16
HG03577	16
HG03478	16
NA19921	16
HG02938	16
NA19704	16
HG02012	16
NA19092	16
NA19118	16
HG03175	16
NA18934	16
HG02944	16
HG02450	16
HG03301	16
NA18499	16
HG02537	16
NA20278	16
NA19214	16
HG01912	16
NA19819	16
HG02807	16
NA18502	16
HG03115	16
HG02973	16
NA20348	16
NA20346	16
HG03352	16
HG03061	16
HG03195	16
HG03572	16
NA18853	16
NA19309	16
NA18504	16
HG03280	16
HG03304	16
HG03160	16
NA18488	16
HG03511	16
HG02308	16
NA19160	16
NA19147	16
NA19236	16
NA20342	16
NA19700	16
HG02968	16
NA19113	16
NA19238	16
NA19138	16
HG02315	16
NA19235	16
HG03419	16
HG02799	17
HG03279	17
HG02970	17
HG03437	17
HG02545	17
HG02881	17
HG02536	17
NA19438	-1
NA19197	18
HG02284	18
NA19248	18
NA18870	18
HG02645	18
NA19247	18
HG02804	18
HG02837	18
HG02595	18
HG02555	18
NA19209	18
HG02952	18
HG03291	18
HG03472	18
HG02982	18
HG02887	18
HG03046	18
HG02760	18
HG03515	18
NA18522	18
NA18516	18
NA19024	18
NA19984	18
NA19185	18
HG03072	19
HG02879	19
HG02703	19
HG02756	19
HG02878	19
HG02757	19
HG03376	19
HG03049	19
HG03157	19
HG03388	19
HG02836	19
NA18517	19
HG03354	19
HG03069	19
HG03473	19
HG03433	19
HG03476	19
HG03455	19
HG02715	19
NA19835	19
NA20127	19
HG02667	19
HG02462	19
HG02896	19
HG02643	19
HG03091	19
HG03225	19
HG02882	19
HG02814	19
HG01989	19
HG03074	19
HG02144	19
HG03451	19
HG02759	19
HG02505	19
HG03048	19
HG01880	19
HG03484	19
HG02642	19
HG02624	19
HG02888	19
HG02334	20
HG03258	20
HG03538	20
NA20356	20
HG02884	20
HG02763	20
HG03479	20
HG03060	20
HG02054	20
HG02816	20
HG02621	20
HG02445	20
HG02485	20
HG02511	21
NA20314	21
NA19025	22
NA19982	22
HG02256	22
NA20299	22
NA19701	22
NA20318	23
NA20317	23
NA20296	23
HG02255	23
NA19922	23
HG02675	23
HG01894	23
NA18864	23
HG03445	23
HG02771	23
HG02558	23
NA19121	23
NA19144	23
HG03265	23
HG03198	23
HG03224	23
NA19153	23
HG02953	23
HG02585	23
HG03129	23
HG03247	23
HG02574	23
HG03100	23
HG02610	23
HG03518	23
NA20339	23
HG02339	23
HG02798	23
NA18867	23
HG03241	23
HG02583	23
NA19030	23
NA19316	23
NA20294	23
HG03567	23
HG02095	23
HG03040	23
HG02586	23
HG03559	23
HG02768	23
HG02702	23
HG02628	23
HG03366	23
HG02484	23
HG02318	23
NA18858	24
HG03086	24
NA19107	24
HG02813	24
HG02722	24
HG02465	24
HG02470	24
NA18916	24
HG02634	24
HG01879	24
HG03054	24
HG02613	24
HG03294	24
HG03055	24
HG02854	24
HG02623	24
HG03394	24
HG02330	24
HG02810	24
NA18865	24
NA18907	24
HG03565	24
HG03095	24
NA19257	24
HG03521	24
HG03446	24
HG03124	24
HG02594	24
HG02461	24
HG03108	24
NA19098	24
NA19913	24
HG03370	24
HG02309	24
HG01914	24
HG03039	24
HG02721	24
NA19143	24
NA18508	24
NA19119	24
HG02471	24
HG02107	24
HG03246	24
NA19175	24
NA19222	24
NA18871	24
NA19372	24
NA19380	24
NA19429	24
NA19307	24
NA19324	24
NA19320	24
NA19355	24
NA19473	24
NA19338	24
NA19428	24
NA19375	24
NA19472	24
NA19439	24
NA19346	24
NA19397	24
NA19451	24
NA19347	24
NA19026	24
NA19360	24
NA19334	24
NA19331	24
NA19468	24
NA19475	24
NA19436	24
NA19310	24
NA19321	24
NA19456	24
NA19017	24
NA19036	24
NA19384	25
HG03583	25
HG03558	25
HG03024	25
NA19920	25
HG03045	25
HG02805	25
HG02614	25
NA19377	26
NA19038	26
NA19457	26
NA19037	26
