SequenceName	ClusterNumber
HG03301	40
NA18499	40
HG02537	40
NA20278	40
NA19214	40
HG01912	40
HG02666	41
HG02449	41
NA18909	41
HG03081	41
NA20291	41
HG02464	41
HG03556	41
HG03212	41
HG03025	41
HG02769	41
HG02943	42
NA19319	42
NA19200	42
NA19711	42
HG02817	42
NA19171	42
HG03105	42
NA19900	42
HG03378	42
HG03082	42
HG03372	42
HG03369	42
NA18873	42
NA19315	42
HG03196	-1
HG02582	43
HG02143	43
NA20298	-1
HG03484	44
HG02642	44
HG02624	44
HG02888	44
HG02979	45
NA18505	45
HG02481	45
HG01890	45
NA18523	45
HG02479	45
HG02429	45
HG03452	45
HG03159	45
NA19189	45
HG01915	45
HG03575	45
NA20126	45
HG03163	45
HG02476	45
HG03297	45
HG02557	45
HG03135	45
HG03199	45
NA19395	45
HG02885	45
NA19023	45
NA18511	45
HG03514	45
HG02051	45
HG01883	45
NA20357	46
NA19116	46
HG02337	46
HG01958	46
HG02485	-1
HG02445	-1
HG02334	-1
NA19982	-1
NA19819	-1
HG03520	47
NA19184	47
NA19141	47
HG03118	47
HG03190	47
HG02976	47
HG03291	48
HG03472	48
HG02982	48
HG02887	48
HG03046	48
HG02760	48
HG03515	48
NA18522	48
NA18516	48
NA19024	48
NA19984	48
NA19185	48
NA19209	49
HG02952	49
HG02555	-1
HG02756	50
HG02878	50
HG02757	50
NA19452	-1
HG03028	-1
HG03258	51
HG03538	51
NA20356	51
HG02884	51
HG02763	51
NA19701	-1
NA20318	52
NA20317	52
NA20296	52
HG02255	52
NA19384	53
HG03583	53
HG03558	53
NA19457	54
NA19037	54
NA19377	55
NA19038	55
HG02807	56
NA18502	56
HG03115	56
HG02973	56
NA20348	56
NA20346	56
HG03352	56
HG03061	56
NA19399	57
NA19391	57
HG02323	57
HG02804	58
HG02837	58
HG02595	58
NA19247	-1
HG03376	59
HG03049	59
HG03123	60
NA19095	60
NA19351	60
NA20332	61
HG03457	61
HG03428	61
HG03382	61
HG02281	61
HG03097	61
HG02716	61
HG02620	61
HG02629	61
HG03485	61
HG03401	61
HG03547	61
HG03085	61
HG02568	61
HG03479	-1
NA20299	-1
HG02256	-1
HG03054	62
HG02613	62
NA18858	63
HG03086	63
NA19920	64
HG03045	64
HG02805	64
HG02614	64
HG03024	-1
HG03195	-1
HG02947	65
HG03126	65
NA19114	65
HG02013	65
NA19818	66
NA19035	66
HG02439	67
HG03169	67
HG02977	67
HG03539	67
HG02676	67
NA20276	67
HG02870	67
HG02588	67
NA18874	67
HG03460	67
NA19102	67
HG03548	67
HG03410	67
HG03578	67
NA20340	67
HG02922	67
NA18489	67
HG02860	67
HG02852	67
HG02501	67
HG01889	67
HG03114	67
HG03563	68
HG02941	68
NA19117	68
NA20287	68
HG03060	-1
HG01894	-1
NA19922	69
HG02675	69
HG02470	70
NA18916	70
HG02634	70
HG01879	70
NA19107	71
HG02813	71
HG02722	71
HG02465	71
HG03433	72
HG03476	72
HG03455	72
HG02715	72
NA19835	72
NA20127	72
HG02667	72
HG02462	72
HG02896	72
HG02643	72
HG03473	-1
NA18856	73
HG02489	73
NA20274	73
NA19625	73
NA18519	73
HG02325	73
NA19225	73
HG03342	73
HG03121	73
NA19239	-1
HG02816	74
HG02621	74
HG02054	-1
HG03224	75
NA19153	75
HG02953	75
HG02585	75
HG03129	75
HG03247	75
HG02574	75
HG03394	76
HG02330	76
HG03055	77
HG02854	77
HG02623	77
HG03294	-1
NA19147	78
NA19236	78
NA20342	78
NA19700	78
HG02968	78
NA19113	78
NA19238	78
NA19138	78
HG02315	78
NA19235	78
HG03419	78
NA19160	-1
NA19309	79
NA18504	79
HG03280	79
HG03304	79
HG03160	79
NA18488	79
HG03511	79
HG02308	79
HG03572	80
NA18853	80
HG03091	81
HG03225	81
HG02882	81
HG02814	81
HG01989	81
HG03157	-1
NA19099	82
NA19394	82
HG02419	-1
HG03100	-1
NA18864	-1
HG02810	83
NA18865	83
NA18907	83
HG03565	83
HG03095	83
HG02759	84
HG02505	84
HG03048	84
HG01880	84
HG03074	85
HG02144	85
HG03451	85
HG03069	-1
HG02679	-1
HG02009	86
HG03461	86
HG03064	86
HG03432	86
NA18878	86
HG02497	86
HG02314	86
HG02554	86
NA19403	-1
NA20294	87
HG03567	87
HG02095	87
NA19316	-1
HG03518	88
NA20339	88
HG02339	88
HG02610	-1
HG03445	-1
NA19257	89
HG03521	89
HG03446	89
HG03124	89
HG02594	89
HG02461	89
HG03108	89
NA19098	89
NA19913	89
HG03370	89
HG02309	89
HG01914	89
NA18517	90
HG03354	90
HG02819	91
NA18910	91
HG03449	91
HG02808	91
HG02502	91
HG02549	91
NA18908	91
HG02455	91
NA19093	91
HG02546	91
NA19149	91
HG02317	91
HG03366	92
HG02484	92
HG02318	92
HG03040	93
HG02586	93
HG03559	93
HG02768	93
HG02702	93
HG02628	93
NA19030	-1
HG02798	94
NA18867	94
HG03241	94
HG02583	94
NA19121	95
NA19144	95
HG03265	95
HG03198	95
HG02771	96
HG02558	96
NA18871	97
NA19372	97
NA19380	97
NA19429	97
NA19307	97
NA19324	97
NA19320	97
NA19355	97
NA19473	97
NA19338	97
NA19428	97
NA19375	97
NA19472	97
NA19439	97
NA19346	97
NA19397	97
NA19451	97
NA19347	97
NA19026	97
NA19360	97
NA19334	97
NA19331	97
NA19468	97
NA19475	97
NA19436	97
NA19310	97
NA19321	97
NA19456	97
NA19017	97
NA19036	97
HG02836	-1
HG03388	-1
NA19908	-1
NA19175	98
NA19222	98
HG03039	99
HG02721	99
NA19143	99
NA18508	99
NA19119	99
HG02471	99
HG02107	99
HG03246	99
NA19130	100
NA19096	100
HG03088	100
HG02851	100
HG03571	101
HG03557	101
NA19923	101
HG02895	101
HG02861	101
HG01896	101
HG02508	102
NA18912	102
NA18868	103
NA20351	103
HG03117	103
HG03078	-1
